,close,high,init date,low,open,ticker,time,volume
241,17.7,17.7,2020-12-22,17.55,17.55,ONVO,2020-12-22 18:30:00,3205.0
242,17.51,17.51,2020-12-22,17.51,17.51,ONVO,2020-12-22 18:00:00,180.0
243,17.51,17.51,2020-12-22,17.5,17.5,ONVO,2020-12-22 17:30:00,300.0
244,17.05,17.05,2020-12-22,17.04,17.04,ONVO,2020-12-22 16:30:00,345.0
245,17.102999999999998,17.5,2020-12-22,17.0,17.34,ONVO,2020-12-22 16:00:00,101991.0
246,17.26,17.3,2020-12-22,16.43,16.43,ONVO,2020-12-22 15:30:00,56425.0
247,16.5,16.89,2020-12-22,16.37,16.7188,ONVO,2020-12-22 15:00:00,33603.0
248,16.6401,16.86,2020-12-22,15.9701,16.2,ONVO,2020-12-22 14:30:00,31224.0
249,16.06,16.2,2020-12-22,15.86,15.975,ONVO,2020-12-22 14:00:00,27086.0
250,16.06,16.1798,2020-12-22,15.86,16.1798,ONVO,2020-12-22 13:30:00,13832.0
251,16.08,16.19,2020-12-22,15.47,15.5,ONVO,2020-12-22 13:00:00,24050.0
252,15.4,15.655,2020-12-22,15.23,15.6,ONVO,2020-12-22 12:30:00,32683.0
253,15.585,16.4048,2020-12-22,15.51,16.21,ONVO,2020-12-22 12:00:00,46933.0
254,16.2,16.8,2020-12-22,16.1,16.78,ONVO,2020-12-22 11:30:00,58150.0
255,16.73,17.2,2020-12-22,15.88,16.285999999999998,ONVO,2020-12-22 11:00:00,125668.0
256,16.2839,17.23,2020-12-22,14.9,14.96,ONVO,2020-12-22 10:30:00,224919.0
257,14.71,15.17,2020-12-22,13.32,13.32,ONVO,2020-12-22 10:00:00,138219.0
258,13.65,13.9071,2020-12-22,13.55,13.81,ONVO,2020-12-22 09:30:00,1373.0
259,13.92,13.97,2020-12-22,13.92,13.97,ONVO,2020-12-22 09:00:00,300.0
260,13.98,13.99,2020-12-22,13.65,13.97,ONVO,2020-12-22 08:30:00,3786.0
261,13.98,13.98,2020-12-22,13.8,13.82,ONVO,2020-12-22 08:00:00,916.0
262,6.8,6.8,2020-12-21,6.8,6.8,PROG,2020-12-21 20:00:00,5105.0
263,6.7,6.7,2020-12-21,6.7,6.7,PROG,2020-12-21 19:30:00,200.0
264,6.68,6.68,2020-12-21,6.68,6.68,PROG,2020-12-21 19:00:00,780.0
265,6.85,6.85,2020-12-21,6.85,6.85,PROG,2020-12-21 18:30:00,144.0
266,6.87,6.87,2020-12-21,6.87,6.87,PROG,2020-12-21 18:00:00,300.0
267,6.77,6.8,2020-12-21,6.77,6.8,PROG,2020-12-21 17:30:00,750.0
268,6.87,6.87,2020-12-21,6.87,6.87,PROG,2020-12-21 17:00:00,890.0
269,6.89,6.89,2020-12-21,6.89,6.89,PROG,2020-12-21 16:30:00,831.0
270,6.8499,6.92,2020-12-21,6.37,6.37,PROG,2020-12-21 16:00:00,325185.0
271,6.34,6.385,2020-12-21,6.3001,6.35,PROG,2020-12-21 15:30:00,43468.0
272,6.3589,6.42,2020-12-21,6.35,6.385,PROG,2020-12-21 15:00:00,23214.0
273,6.38,6.495,2020-12-21,6.32,6.495,PROG,2020-12-21 14:30:00,28418.0
274,6.495,6.55,2020-12-21,6.32,6.3201,PROG,2020-12-21 14:00:00,41145.0
275,6.3391,6.3598,2020-12-21,6.25,6.2655,PROG,2020-12-21 13:30:00,46479.0
276,6.245,6.27,2020-12-21,6.06,6.1,PROG,2020-12-21 13:00:00,40095.0
277,6.13,6.15,2020-12-21,6.0,6.03,PROG,2020-12-21 12:30:00,54390.0
278,6.0208,6.28,2020-12-21,6.0,6.18,PROG,2020-12-21 12:00:00,96675.0
279,6.1878,6.505,2020-12-21,6.13,6.5036,PROG,2020-12-21 11:30:00,92852.0
280,6.5051,6.5911,2020-12-21,6.35,6.48,PROG,2020-12-21 11:00:00,118443.0
281,6.398,6.64,2020-12-21,5.7688,5.7688,PROG,2020-12-21 10:30:00,331627.0
282,5.7378,6.48,2020-12-21,5.21,6.28,PROG,2020-12-21 10:00:00,662264.0
