"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
112,"LPTH",17.06%,20.35%,45.96%,12.46%,433.77%,373.10%,8.15%,7.72%,2.00,292.78,10.33,4.80,39.94%,3023965
113,"LUB",3.68%,-2.76%,17.50%,89.26%,25.33%,28.18%,3.70%,5.21%,,163.24,0.09,2.86,1.42%,14772
114,"LXU",4.14%,31.90%,44.27%,142.98%,-42.65%,-34.05%,6.78%,9.07%,,195.70,0.33,2.70,-2.53%,64514
115,"MBRX",1.89%,-6.32%,-0.41%,-21.32%,-23.61%,-14.02%,4.75%,7.30%,1.70,1440.54,0.47,0.79,0.79%,671545
116,"MCHX",-3.18%,3.40%,15.14%,40.13%,-46.75%,-43.65%,5.46%,5.08%,2.00,85.48,0.37,2.14,0.47%,31371
117,"MLND",15.38%,33.14%,39.75%,13.07%,-67.58%,-66.62%,8.04%,6.54%,1.70,388.53,0.64,2.25,0.00%,249142
118,"MMLP",-12.78%,-5.42%,22.66%,-33.76%,-62.08%,-61.04%,6.55%,7.89%,3.50,213.88,3.26,1.63,3.82%,696332
119,"MOHO",-1.82%,54.45%,50.00%,-28.48%,-75.13%,-62.73%,4.55%,17.41%,3.00,701.19,0.03,2.20,1.85%,20655
120,"MOTS",-11.82%,22.78%,-3.96%,-31.69%,-58.90%,-57.64%,10.12%,9.20%,1.50,217.17,2.28,1.00,3.09%,494637
121,"MRAM",-20.32%,-22.26%,-19.02%,-35.40%,-19.75%,-15.02%,7.11%,5.92%,1.50,198.32,1.78,4.47,0.00%,353894
122,"MRKR",-1.87%,5.37%,-7.65%,-24.88%,-47.14%,-45.49%,11.53%,7.87%,1.50,267.67,1.30,1.45,-7.64%,348551
123,"NAOV",-19.05%,49.91%,-29.17%,-58.74%,-72.40%,-70.18%,8.13%,16.23%,2.00,7600.90,0.05,0.84,-0.60%,369023
124,"NAVB",14.36%,-5.29%,-23.49%,-45.57%,100.93%,70.63%,7.52%,6.17%,2.00,237.24,0.69,2.12,-1.40%,162940
125,"NBRV",-0.40%,-43.64%,-55.56%,-66.26%,-80.63%,-81.21%,4.40%,7.89%,2.70,368.13,2.57,2.61,5.24%,944565
126,"NBY",-8.85%,8.43%,-16.54%,-38.42%,5.21%,-0.89%,4.78%,7.27%,1.50,1380.44,0.43,0.63,-0.66%,598918
127,"NDRA",-20.97%,-12.31%,-5.37%,-31.04%,-43.63%,-57.72%,10.35%,8.97%,2.00,281.86,1.57,0.73,3.31%,442854
128,"NEOS",2.14%,16.78%,6.13%,-12.20%,-52.30%,-55.15%,6.35%,12.18%,2.00,4055.66,0.23,0.67,-1.73%,952262
129,"NINE",13.52%,67.88%,118.11%,18.38%,-61.26%,-64.58%,11.35%,14.74%,3.10,284.99,1.37,2.90,4.69%,389610
130,"NM",-3.44%,11.16%,31.72%,0.83%,-53.68%,-49.13%,6.43%,8.58%,1.00,84.66,0.85,2.26,-0.82%,72151
131,"NNA",-5.90%,-23.87%,-22.57%,-20.25%,-59.62%,-62.47%,5.04%,5.88%,3.00,169.87,1.28,3.03,-5.02%,216830
132,"NSPR",3.13%,-6.60%,-0.95%,-36.10%,-66.09%,-69.23%,7.38%,7.50%,2.00,1182.28,0.98,0.33,-1.20%,1161127
133,"NVCN",18.30%,3.18%,-58.92%,-62.64%,-74.21%,-83.98%,13.84%,8.20%,1.00,1404.74,0.72,0.82,-5.39%,1012416
134,"NVIV",-6.74%,3.57%,-57.19%,-63.72%,-86.78%,-91.18%,8.49%,7.76%,,1779.33,0.84,0.59,-0.08%,1487245
135,"NWHM",-2.83%,-12.41%,5.96%,41.18%,2.35%,3.00%,4.91%,4.98%,3.00,64.35,0.78,4.79,-0.21%,50362
136,"OEG",18.92%,50.36%,159.28%,96.28%,17.86%,20.00%,11.57%,20.35%,,4314.62,0.58,1.36,3.03%,2519658
137,"OGEN",0.23%,-17.49%,-37.25%,-18.57%,-14.97%,-17.02%,4.71%,8.97%,2.00,4869.31,1.74,0.45,3.00%,8478743
138,"OPGN",-8.60%,-13.27%,-19.81%,-14.57%,18.06%,50.44%,4.70%,5.29%,2.00,767.25,1.43,1.70,0.00%,1096171
139,"OSS",6.43%,29.00%,34.84%,39.25%,61.08%,47.52%,5.44%,6.05%,2.00,118.14,0.63,2.99,0.34%,74413
140,"PDSB",5.69%,11.50%,-16.48%,53.79%,-1.33%,-15.85%,6.73%,7.74%,1.80,462.00,0.74,2.28,2.24%,343739
141,"PFIE",-4.31%,4.97%,25.80%,-5.92%,-41.91%,-40.31%,8.04%,6.67%,2.70,110.43,0.19,0.84,-2.92%,20733
142,"PFMT",10.70%,7.95%,36.76%,27.53%,-3.48%,-19.57%,7.10%,8.18%,3.00,599.26,1.77,0.99,20.66%,1060406
143,"PHX",9.62%,31.03%,34.12%,-22.45%,-79.16%,-79.66%,9.54%,10.47%,1.00,200.03,1.06,2.16,-5.26%,212607
144,"POAI",-6.90%,-0.24%,-20.18%,-65.56%,-76.40%,-74.14%,5.30%,8.09%,,1133.95,0.36,0.66,-2.21%,404763
145,"PRPO",-8.48%,-7.66%,-12.39%,51.85%,-3.30%,0.00%,5.85%,8.41%,2.00,762.69,0.78,2.05,0.00%,596329
146,"PT",12.91%,22.21%,9.47%,-16.80%,23.81%,-42.86%,7.45%,8.06%,,236.42,1.20,1.08,3.85%,284618
147,"PTE",1.14%,-33.91%,-37.33%,-50.06%,-75.42%,-75.42%,6.59%,7.95%,2.30,1128.15,1.26,0.62,-3.02%,1418134
148,"PTI",0.00%,6.48%,0.00%,-23.84%,-7.63%,-49.56%,6.87%,7.85%,2.00,542.35,3.88,1.11,-3.48%,2104654
149,"PTN",-2.58%,-2.05%,-16.08%,-33.02%,-43.94%,-45.54%,5.60%,5.64%,1.30,1369.28,14.13,0.56,32.63%,19353386
150,"PULM",-10.61%,12.38%,2.61%,-39.49%,43.50%,37.21%,6.79%,6.68%,,467.54,2.29,1.29,9.32%,1072718
151,"PVL",-1.48%,28.94%,8.94%,-42.17%,-57.27%,-56.86%,3.97%,6.43%,,213.39,0.84,0.79,-1.63%,179118
152,"PZG",2.80%,5.77%,-8.33%,0.92%,52.78%,42.23%,3.85%,4.95%,1.50,122.59,0.64,1.05,-4.55%,78279
